UNIPROT,GENE
P29400,COL4A5
P29466,CASP1
P29475,NOS1
P29597,TYK2
P29803,PDHA2
P29992,GNA11
P30041,PRDX6
P30044,PRDX5
P30048,PRDX3
P30281,CCND3
P30291,WEE1
P30411,BDKRB2
P30443,HLA-A
P30450,HLA-A
P30460,HLA-B
P30481,HLA-B
P30491,HLA-B
P30499,HLA-C
P30504,HLA-C
P30511,HLA-F
P30532,CHRNA5
P30533,LRPAP1
P30542,ADORA1
P30556,AGTR1
P30622,CLIP1
P30685,HLA-B
P30926,CHRNB4
P30968,GNRHR
P31040,SDHA
P31150,GDI1
P31152,MAPK4
P31153,MAT2A
P31274,HOXC9
P31321,PRKAR1B
P31323,PRKAR2B
P31350,RRM2
P31371,FGF9
P31749,AKT1
P31751,AKT2
P31930,UQCRC1
P31942,HNRNPH3
P31943,HNRNPH1
P31944,CASP14
P31947,SFN
P31949,S100A11
P32119,PRDX2
P32241,VIPR1
P32243,OTX2
P32246,CCR1
P32297,CHRNA3
P32856,STX2
P33402,GUCY1A2
P33552,CKS2
P33681,CD80
P33778,H2BC3
P33981,TTK
P34931,HSPA1L
P34932,HSPA4
P34947,GRK5
P34981,TRHR
P35221,CTNNA1
P35222,CTNNB1
P35226,BMI1
P35227,PCGF2
P35237,SERPINB6
P35244,RPA3
P35249,RFC4
P35250,RFC2
P35251,RFC1
P35346,SSTR5
P35348,ADRA1A
P35527,KRT9
P35548,MSX2
P35555,FBN1
P35579,MYH9
P35590,TIE1
P35606,COPB2
P35609,ACTN2
P35626,GRK3
P35749,MYH11
P35869,AHR
P35908,KRT2
P35916,FLT4
P35968,KDR
P35998,PSMC2
P36405,ARL3
P36406,TRIM23
P36507,MAP2K2
P36543,ATP6V1E1
P36871,PGM1
P36873,PPP1CC
P36894,BMPR1A
P36896,ACVR1B
P36897,TGFBR1
P36956,SREBF1
P37088,SCNN1A
P37173,TGFBR2
P37231,PPARG
P38117,ETFB
P38159,RBMX
P38398,BRCA1
P38646,HSPA9
P38919,EIF4A3
P38936,CDKN1A
P40123,CAP2
P40145,ADCY8
P40189,IL6ST
P40227,CCT6A
P40306,PSMB10
P40616,ARL1
P40692,MLH1
P40818,USP8
P40926,MDH2
P40937,RFC5
P40938,RFC3
P40939,HADHA
P41002,CCNF
P41134,ID1
P41182,BCL6
P41212,ETV6
P41226,UBA7
P41227,NAA10
P41235,HNF4A
P41240,CSK
P41279,MAP3K8
P41587,VIPR2
P41743,PRKCI
P42081,CD86
P42261,GRIA1
P42262,GRIA2
P42263,GRIA3
P42336,PIK3CA
P42338,PIK3CB
P42345,MTOR
P42575,CASP2
P42679,MATK
P42680,TEC
P42681,TXK
P42684,ABL2
P42771,CDKN2A
P42773,CDKN2C
P43034,PAFAH1B1
P43146,DCC
P43246,MSH2
P43320,CRYBB2
P43403,ZAP70
P43405,SYK
P43681,CHRNA4
P43686,PSMC4
P45379,TNNT2
P45481,Crebbp
P45844,ABCG1
P45973,CBX5
P45983,MAPK8
P45984,MAPK9
P45985,MAP2K4
P46108,CRK
P46109,CRKL
P46527,CDKN1B
P46531,NOTCH1
P46663,BDKRB1
P46734,MAP2K3
P46934,NEDD4
P46976,GYG1
P47224,RABIF
P47755,CAPZA2
P47756,CAPZB
P47900,P2RY1
P48050,KCNJ4
P48051,KCNJ6
P48061,CXCL12
P48307,TFPI2
P48443,RXRG
P48454,PPP3CC
P48544,KCNJ5
P48549,KCNJ3
P48551,IFNAR2
P48668,KRT6C
P48729,CSNK1A1
P48730,CSNK1D
P48736,PIK3CG
P48742,LHX1
P48788,TNNI2
P49190,PTH2R
P49354,FNTA
P49356,FNTB
P49368,CCT3
P49418,AMPH
P49427,CDC34
P49450,CENPA
P49459,UBE2A
P49593,PPM1F
P49662,CASP4
P49715,CEBPA
P49716,CEBPD
P49720,PSMB3
P49721,PSMB2
P49759,CLK1
P49760,CLK2
P49770,EIF2B2
P49790,NUP153
P49792,RANBP2
P49795,RGS19
P49796,RGS3
P49798,RGS4
P49802,RGS7
P49815,TSC2
P49840,GSK3A
P49841,GSK3B
P49848,TAF6
P50150,GNG4
P50213,IDH3A
P50281,MMP14
P50539,MXI1
P50542,PEX5
P50549,ETV1
P50570,DNM2
P50579,METAP2
P50613,CDK7
P50616,TOB1
P50750,CDK9
P50990,CCT8
P50991,CCT4
P50993,ATP1A2
P51148,RAB5C
P51149,RAB7A
P51153,RAB13
P51159,RAB27A
P51164,ATP4B
P51168,SCNN1B
P51170,SCNN1G
P51172,SCNN1D
P51178,PLCD1
P51451,BLK
P51531,SMARCA2
P51532,SMARCA4
P51575,P2RX1
P51617,IRAK1
P51665,PSMD7
P51668,UBE2D1
P51671,CCL11
P51681,CCR5
P51693,APLP1
P51795,CLCN5
P51809,VAMP7
P51812,RPS6KA3
P51813,BMX
P51817,PRKX
P51828,ADCY7
P51959,CCNG1
P51965,UBE2E1
P51991,HNRNPA3
P52179,MYOM1
P52198,RND2
P52272,HNRNPM
P52292,KPNA2
P52294,KPNA1
P52333,JAK3
P52564,MAP2K6
P52565,ARHGDIA
P52566,ARHGDIB
P52597,HNRNPF
P52701,MSH6
P52732,KIF11
P52735,VAV2
P52789,HK2
P52790,HK3
P52797,EFNA3
P52798,EFNA4
P52799,EFNB2
P52907,CAPZA1
P53350,PLK1
P53355,DAPK1
P53367,ARFIP1
P53539,FOSB
P53567,CEBPG
P53597,SUCLG1
P53667,LIMK1
P53671,LIMK2
P53673,CRYBA4
P53674,CRYBB1
P53675,CLTCL1
P53680,AP2S1
P53708,ITGA8
P53778,MAPK12
P53779,MAPK10
P53992,SEC24C
P54105,CLNS1A
P54132,BLM
P54253,ATXN1
P54277,PMS1
P54278,PMS2
P54646,PRKAA2
P54652,HSPA2
P54725,RAD23A
P54753,EPHB3
P54756,EPHA5
P54762,EPHB1
P54764,EPHA4
P55040,GEM
P55060,CSE1L
P55072,VCP
P55084,HADHB
P55196,AFDN
P55209,NAP1L1
P55210,CASP7
P55211,CASP9
P55212,CASP6
P55265,ADAR
P55283,CDH4
P55287,CDH11
P55291,CDH15
P55316,FOXG1
P55317,FOXA1
P55347,PKNOX1
P55735,SEC13
P55795,HNRNPH2
P55854,SUMO3
P55899,FCGRT
P55957,BID
P56178,DLX5
P56199,ITGA1
P56373,P2RX3
P56377,AP1S2
P56645,PER3
P56704,WNT3A
P56945,BCAR1
P57059,SIK1
P57081,WDR4
P57086,SCAND1
P57087,JAM2
P57729,RAB38
P57735,RAB25
P58546,MTPN
P59768,GNG2
P59998,ARPC4
P60510,PPP4C
P60520,GABARAPL2
P60604,UBE2G2
P60660,MYL6
P60709,ACTB
P60763,RAC3
P60842,EIF4A1
P60880,SNAP25
P60953,CDC42
P61006,RAB8A
P61019,RAB2A
P61020,RAB5B
P61024,CKS1B
P61026,RAB10
P61073,CXCR4
P61077,UBE2D3
P61081,UBE2M
P61086,UBE2K
P61088,UBE2N
P61106,RAB14
P61158,ACTR3
P61160,ACTR2
P61204,ARF3
P61212,Arl1
P61224,RAP1B
P61244,MAX
P61326,MAGOH
P61371,ISL1
P61586,RHOA
P61587,RND3
P61764,STXBP1
P61769,B2M
P61923,COPZ1
P61956,SUMO2
P61964,WDR5
P61966,AP1S1
P61970,NUTF2
P61978,HNRNPK
P62068,USP46
P62070,RRAS2
P62072,TIMM10
P62081,RPS7
P62136,PPP1CA
P62158,
P62244,RPS15A
P62253,UBE2G1
P62256,UBE2H
P62304,SNRPE
P62306,SNRPF
P62308,SNRPG
P62310,LSM3
P62312,LSM6
P62316,SNRPD2
P62324,BTG1
P62330,ARF6
P62380,TBPL1
P62491,RAB11A
P62495,ETF1
P62714,PPP2CB
P62736,ACTA2
P62745,RHOB
P62805,H4C1
P62807,H2BC4
P62820,RAB1A
P62826,RAN
P62829,RPL23
P62834,RAP1A
P62837,UBE2D2
P62873,GNB1
P62877,RBX1
P62879,GNB2
P62987,UBA52
P62993,GRB2
P62995,TRA2B
P63000,RAC1
P63010,AP2B1
P63027,VAMP2
P63092,GNAS
P63096,GNAI1
P63098,PPP3R1
P63146,UBE2B
P63208,SKP1
P63211,GNGT1
P63215,GNG3
P63218,GNG5
P63244,RACK1
P63252,KCNJ2
P63261,ACTG1
P63279,UBE2I
P67775,PPP2CA
P67809,YBX1
P67870,CSNK2B
P67936,TPM4
P68032,ACTC1
P68036,UBE2L3
P68104,EEF1A1
P68133,ACTA1
P68371,TUBB4B
P68400,CSNK2A1
P68431,H3C1
P68433,H3c1
P78314,SH3BP2
P78317,RNF4
P78318,IGBP1
P78324,SIRPA
P78344,EIF4G2
P78352,DLG4
P78362,SRPK2
P78364,PHC1
P78371,CCT2
P78385,KRT83
P78406,RAE1
P78504,JAG1
P78508,KCNJ10
P78527,PRKDC
P80162,CXCL6
P81133,SIM1
P83731,RPL24
P83916,CBX1
P84022,SMAD3
P84077,ARF1
P84085,ARF5
P84233,
P84243,H3-3A
P98160,HSPG2
P98164,LRP2
P98170,XIAP
P98177,FOXO4
P98179,RBM3
Q00013,MPP1
Q00266,MAT1A
Q00526,CDK3
Q00534,CDK6
Q00535,CDK5
Q00537,CDK17
Q00610,CLTC
Q00653,NFKB2
Q00722,PLCB2
Q00872,MYBPC1
Q01082,SPTBN1
Q01085,TIAL1
Q01094,E2F1
Q01130,SRSF2
Q01196,RUNX1
Q01518,CAP1
Q01543,FLI1
Q01638,IL1RL1
Q01658,DR1
Q01813,PFKP
Q01892,SPIB
Q01968,OCRL
Q02078,MEF2A
Q02108,GUCY1A1
Q02153,GUCY1B1
Q02156,PRKCE
Q02246,CNTN2
Q02363,ID2
Q02388,COL7A1
Q02410,APBA1
Q02535,ID3
Q02575,NHLH1
Q02750,MAP2K1
Q02763,TEK
Q02779,MAP3K10
Q02790,FKBP4
Q02880,TOP2B
Q02985,CFHR3
Q03181,PPARD
Q04637,EIF4G1
Q04656,ATP7A
Q04695,KRT17
Q04721,NOTCH2
Q04724,TLE1
Q04725,TLE2
Q04759,PRKCQ
Q04771,ACVR1
Q05086,UBE3A
Q05397,PTK2
Q05513,PRKCZ
Q05516,ZBTB16
Q05586,GRIN1
Q05639,EEF1A2
Q05655,PRKCD
Q05923,DUSP2
Q05925,EN1
Q06124,PTPN11
Q06141,REG3A
Q06187,BTK
Q06323,PSME1
Q06330,RBPJ
Q06481,APLP2
Q06546,GABPA
Q06547,GABPB1
Q06587,RING1
Q06609,RAD51
Q06830,PRDX1
Q07157,TJP1
Q07687,DLX2
Q07812,BAX
Q07817,BCL2L1
Q07820,MCL1
Q07889,SOS1
Q07890,SOS2
Q07912,TNK2
